日期,内容,来源
2011/3/21,国泰君安：坚定看好中兴通讯未来发展,Wind
2011/3/22,申银万国调整香港中资股重点推荐表,Wind
2011/3/22,金融地产高管领衔上市公司薪酬榜,Wind
2011/3/23,申银万国：预计中兴通讯收入保持30%增长,Wind
2011/3/23,LTE网络整装待发 通讯设备公司厉兵秣马,资本证券
2011/3/23,中兴通讯计划在刚果（布）建设光伏组件厂,SEMI
2011/3/23,中兴手机全球销量首次进入世界前五 韩企紧张,
2011/3/28,互联网新一轮商机,
2011/3/28,482家公司出现汇兑损失 中石油损失最大,中国经济网
2011/3/31,1254家公司净利增四成信息及公用事业垫底,Wind
2011/3/31,中兴通讯去年全年营业收入突破七百亿元,
2011/4/1,申银万国：“长尾效应”带动投资品渠道下沉,Wind
2011/4/6,周三资金净流入净流出十大个股名单,Wind
2011/4/6,银河证券：专利诉讼将无碍中兴通讯对欧销售,Wind
2011/4/6,中兴在欧遭遇爱立信起诉,证券时报网
2011/4/7,中兴通讯被爱立信起诉侵权 研究员：对公司影响不大,证券时报网
2011/4/8,中兴通讯应诉爱立信专利诉讼,证券时报网
2011/4/11,光大证券：通信行业板块估值趋于合理且投资机会隐现,Wind
2011/4/11,通信业专利战真假相,
2011/4/12,中興通訊（0763）反訴愛立信　凸顯行業競爭,财经日报
2011/4/12,专利战升级 中兴正式反诉爱立信,第一财经
2011/4/13,中兴通讯反诉爱立信侵权涉GSM等业务,Wind
2011/4/13,中兴通讯反诉爱立信 专利战背后现4G布网竞争,证券时报网
2011/4/15,申银万国：通信行业主设备商增长平淡,Wind
2011/4/18,中兴通讯助力中国联通构建HSPA+精品承载网,
2011/4/19,中兴通讯：2011年第一季度纯利同比增15.86%,Wind
2011/4/20,国信证券：看好中兴通讯全年表现,Wind
2011/4/20,中兴通讯：1季度增长平淡后续望加速,凤凰网
2011/4/20,东方证券：光通信板块已到左侧建仓时机,Wind
2011/4/20,银河证券：中兴通讯将受益运营商资本开支落实,Wind
2011/4/20,申银万国：中兴通讯毛利率指标向好,Wind
2011/4/20,中兴通讯首季赚1.27亿,Wind
2011/4/21,工信部称三网融合获积极进展 38只概念股受益明显,资本证券
2011/4/22,通信板块连续调整 估值趋合理 或迎春天,证券时报网
2011/4/22,中兴诉爱立信开打专利战,新京报网
2011/4/25,中兴通讯：传统淡季缺乏亮点 买入评级,红周刊
2011/4/26,中兴通讯首次曝光智能终端全球市场版图,
2011/4/28,中兴通讯计划今年销售智能终端1200万部,Wind
2011/4/29,中兴反击华为：不畏惧来自背面的寻衅,21世纪经济报道
2011/4/29,华为在欧洲起诉中兴通讯侵权 中兴腹背受敌遭专利围攻,证券时报网
2011/4/29,涉知识产权侵权 华为中兴欧洲“斗法”,第一财经
2011/5/3,中兴通讯在欧洲和中国同时反诉华为,21世纪经济报道
2011/5/3,中兴通讯再陷专利纠纷 华为诉其侵权,
2011/5/4,长城证券：维持中兴通讯强烈推荐评级,Wind
2011/5/4,叶檀：华为中兴“内战”，不必担心,中国经营网
2011/5/4,华为中兴同室操戈,资本证券
2011/5/4,中兴再次反诉华为 欧洲市场成战场,第一财经
2011/5/5,中兴通讯诉华为侵权是否立案今日揭晓,证券时报网
2011/5/5,传中兴正寻求5亿美元贷款,Wind
2011/5/5,中兴通讯宣布智能终端战略转型,经济日报
2011/5/6,华为中兴专利战呼唤国家知识产权战略,第一财经
2011/5/7,中兴通讯未公告遭华为起诉或违反信披守则,Wind
2011/5/13,中兴通讯：撇开纷扰 唯以业绩鉴价值,红周刊
2011/5/13,中兴通讯：积极应对华为专利诉讼,Wind
2011/5/13,中兴通讯回应华为专利诉讼案,证券时报网
2011/5/13,德国禁止中兴销售使用华为商标的网络设备,Wind
2011/5/16,中兴通讯：行业竞争激烈 公司实力已验证,证券时报网
2011/5/16,国泰君安：维持中兴通讯增持评级,Wind
2011/5/16,中兴通讯：撇开纷扰 唯以业绩鉴价值,红周刊
