preds,targets,dates,close
0.46478027,0.0,2019/7/30,33.33
0.46414286,0.0,2019/7/31,32.92
0.47856075,0.0,2019/8/1,32.73
0.4774589,0.0,2019/8/2,31.4
0.42254114,0.0,2019/8/5,31.13
0.43152806,0.0,2019/8/6,30.5
0.45951974,0.0,2019/8/7,30.17
0.5502776,1.0,2019/8/8,30.24
0.5695624,0.0,2019/8/9,27.9
0.46854502,1.0,2019/8/12,28.75
0.5572652,0.0,2019/8/13,28.32
0.45109993,1.0,2019/8/14,28.67
0.4936694,0.0,2019/8/15,28.37
0.48792633,0.0,2019/8/16,28.18
0.4893782,1.0,2019/8/19,29.96
0.47365737,0.0,2019/8/20,29.85
0.45169264,1.0,2019/8/21,30.13
0.44520268,0.0,2019/8/22,29.69
0.44393775,0.0,2019/8/23,29.24
0.47919044,0.0,2019/8/26,28.85
0.47637853,1.0,2019/8/27,29.71
0.42919242,1.0,2019/8/28,29.79
0.5063493,0.0,2019/8/29,29.18
0.4739487,0.0,2019/8/30,28.81
0.53519636,1.0,2019/9/2,29.36
0.4677154,1.0,2019/9/3,29.83
0.41670167,0.0,2019/9/4,29.6
0.45715848,1.0,2019/9/5,30.65
0.52428406,1.0,2019/9/6,33.49
0.48165753,1.0,2019/9/9,36.84
0.44206792,1.0,2019/9/10,36.93
0.5238872,0.0,2019/9/11,35.46
0.43967935,1.0,2019/9/12,35.74
0.5301082,0.0,2019/9/16,35.29
0.48006567,0.0,2019/9/17,34.4
0.4235593,0.0,2019/9/18,34.02
0.4728995,1.0,2019/9/19,35.0
0.46968892,0.0,2019/9/20,34.4
0.5175506,0.0,2019/9/23,33.69
0.45962623,1.0,2019/9/24,34.53
0.55302286,0.0,2019/9/25,33.88
0.5396608,0.0,2019/9/26,32.61
0.46042627,1.0,2019/9/27,33.2
0.47925678,0.0,2019/9/30,32.01
0.5507163,0.0,2019/10/8,31.81
0.5597889,1.0,2019/10/9,32.15
0.46549568,1.0,2019/10/10,32.87
0.44391105,1.0,2019/10/11,32.9
0.5436603,1.0,2019/10/14,32.96
0.5601309,0.0,2019/10/15,32.05
0.461046,0.0,2019/10/16,32.01
0.4815015,1.0,2019/10/17,32.16
0.46585876,1.0,2019/10/18,32.53
0.45873424,0.0,2019/10/21,31.98
